date,symbol,time,type
2026-04-15,INFY,after_market,Q4
2026-04-17,TCS,after_market,Q4
2026-04-18,WIPRO,after_market,Q4
2026-04-19,HCLTECH,after_market,Q4
2026-04-21,RELIANCE,after_market,Q4
2026-04-22,HDFCBANK,after_market,Q4
2026-04-23,ICICIBANK,after_market,Q4
2026-04-24,AXISBANK,after_market,Q4
2026-04-25,KOTAKBANK,after_market,Q4
2026-04-26,SBIN,after_market,Q4
2026-04-28,BAJFINANCE,after_market,Q4
2026-04-29,MARUTI,after_market,Q4
2026-04-30,TATAMOTORS,after_market,Q4
2026-05-02,LT,after_market,Q4
2026-05-05,SUNPHARMA,after_market,Q4
2026-05-06,TITAN,after_market,Q4
2026-05-07,BHARTIARTL,after_market,Q4
2026-05-08,NESTLEIND,after_market,Q4
2026-07-15,INFY,after_market,Q1
2026-07-17,TCS,after_market,Q1
2026-07-18,WIPRO,after_market,Q1
2026-07-19,HCLTECH,after_market,Q1
2026-07-21,RELIANCE,after_market,Q1
2026-07-22,HDFCBANK,after_market,Q1
2026-07-23,ICICIBANK,after_market,Q1
2026-07-24,AXISBANK,after_market,Q1
2026-07-25,KOTAKBANK,after_market,Q1
2026-07-26,SBIN,after_market,Q1
