from_date,to_date,symbol
2024-01-01,,RELIANCE
2024-01-01,,TCS
2024-01-01,,HDFCBANK
2024-01-01,,INFOSYS
2024-01-01,,ICICIBANK
2024-01-01,,BHARTIARTL
2024-01-01,,SBIN
2024-01-01,,KOTAKBANK
2024-01-01,,LTIM
2024-01-01,,WIPRO
2024-01-01,,HCLTECH
2024-01-01,,AXISBANK
2024-01-01,,BAJFINANCE
2024-01-01,,SUNPHARMA
2024-01-01,,TITAN
2024-01-01,,NESTLEIND
2024-01-01,,ULTRACEMCO
2024-01-01,,TATAMOTORS
2024-01-01,,TATASTEEL
2024-01-01,,MARUTI
2024-01-01,,NTPC
2024-01-01,,POWERGRID
2024-01-01,,ONGC
2024-01-01,,COALINDIA
2024-01-01,,HINDALCO
2024-01-01,,JSWSTEEL
2024-01-01,,ADANIENT
2024-01-01,,ADANIPORTS
2024-01-01,,BAJAJFINSV
2024-01-01,,DIVISLAB
2024-01-01,,DRREDDY
2024-01-01,,EICHERMOT
2024-01-01,,GRASIM
2024-01-01,,HEROMOTOCO
2024-01-01,,INDUSINDBK
2024-01-01,,ITC
2024-01-01,,LT
2024-01-01,,M&M
2024-01-01,,TECHM
2024-01-01,,UPL
2024-01-01,,VEDL
2024-01-01,,BPCL
2024-01-01,,CIPLA
2024-01-01,,HAVELLS
2024-01-01,,PIDILITIND
2024-01-01,,SIEMENS
2024-01-01,,AMBUJACEM
2024-01-01,,BANDHANBNK
2024-01-01,,BERGEPAINT
2024-01-01,,BIOCON
2024-01-01,,DMART
2024-01-01,,POLICYBZR
2024-01-01,,BAJAJ-AUTO
2024-01-01,,LODHA
2024-01-01,,PNB
2024-01-01,,CANBK
2024-01-01,,UNIONBANK
2024-01-01,,FEDERALBNK
2024-01-01,,IDFCFIRSTB
2024-01-01,,RBLBANK
2024-01-01,,IDEA
2024-01-01,,TATAPOWER
2024-01-01,,TORNTPHARM
2024-01-01,,ALKEM
2024-01-01,,ABBOTINDIA
2024-01-01,,SANOFI
2024-01-01,,LUPIN
2024-01-01,,AUROPHARMA
2024-01-01,,IPCALAB
2024-01-01,,JUBLFOOD
2024-01-01,,DOMINO
2024-01-01,,MCDOWELL-N
2024-01-01,,UNITDSPR
2024-01-01,,RADICO
2024-01-01,,VBL
2024-01-01,,PAGEIND
2024-01-01,,WHIRLPOOL
2024-01-01,,VOLTAS
2024-01-01,,CROMPTON
2024-01-01,,POLYCAB
2024-01-01,,KPITTECH
2024-01-01,,PERSISTENT
2024-01-01,,MPHASIS
2024-01-01,,COFORGE
2024-01-01,,LTTS
2024-01-01,,HAPPSTMNDS
2021-11-19,2024-03-15,PAYTM
2021-11-11,,NYKAA
2021-07-23,,ZOMATO
